drinkname,rum,soda,grain alcohol,herb,anis,vodka,citrus,currant,spice,brandy,syrup,agave,almond,bitters,campari,apple,whiskey,cream,cocoa,beer,berries,butter,salt,champagne,coke,milk,coconut,coffee,wine,tropical fruit,gin,grape,guava,tequila,cookie,peach,chili,ice cream,rose,vinegar,tomato,water,yoghurt
A1,0.0,0.0,0.0,0,0,0.0,1,0,0,1.0,1.020875,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.75,0,1,0.0,0,0,0,0,0,0,0,0,0.0
ABC,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3333333333333333,0.0,0,1,0.0,0.0,0,0.3333333333333333,1,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Ace,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0835,0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0.0,0.0,4.0,0,0.0,0.0,0,2.0,0,1,0.0,0,0,0,0,0,0,0,0,0.0
Adam,2.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.167,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0.0
AT&T,0.0,0.136,0.0,0,0,1.5,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
ACID,1.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,1.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
A. J.,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,1,1.5,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0.0
Affair,0.0,0.0,2.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Apello,0.0,0.0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0.0
Avalon,0.0,0.0,1.0,0,0,3.0,0,0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Abilene,1.5,0.0,0.0,0,0,0.0,1,0,0,0.0,2.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0.0
Almeria,3.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Addison,0.0,0.0,0.0,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.5072099999999999,0,1.5,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Acapulco,1.5,0.0,1.5,0,0,0.0,1,0,0,0.0,0.167,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Affinity,0.0,0.0,0.0,1,0,0.0,1,0,0,0.0,0.0,0,0,0.66,0.0,0,1.5,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,2.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Applecar,0.0,0.0,1.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0.0,0.0,1,1.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Aviation,0.0,0.0,0.2505,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,4.5,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Alexander,0.0,0.0,0.5,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.5,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Algonquin,0.0,0.0,0.0,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,1.5,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
